anio,mes,fecha,genero,viajes
2024,Marzo,2024-03-01,Hombre,49036
2024,Marzo,2024-03-01,Mujer,20220
2024,Marzo,2024-03-01,Otro,1438
2024,Marzo,2024-03-02,Hombre,29297
2024,Marzo,2024-03-02,Mujer,12926
2024,Marzo,2024-03-02,Otro,907
2024,Marzo,2024-03-03,Hombre,27940
2024,Marzo,2024-03-03,Mujer,14108
2024,Marzo,2024-03-03,Otro,934
2024,Marzo,2024-03-04,Hombre,47956
2024,Marzo,2024-03-04,Mujer,19305
2024,Marzo,2024-03-04,Otro,1290
2024,Marzo,2024-03-05,Hombre,51210
2024,Marzo,2024-03-05,Mujer,21036
2024,Marzo,2024-03-05,Otro,1457
2024,Marzo,2024-03-06,Hombre,50891
2024,Marzo,2024-03-06,Mujer,20972
2024,Marzo,2024-03-06,Otro,1436
2024,Marzo,2024-03-07,Hombre,52200
2024,Marzo,2024-03-07,Mujer,21702
2024,Marzo,2024-03-07,Otro,1478
2024,Marzo,2024-03-08,Hombre,45646
2024,Marzo,2024-03-08,Mujer,19412
2024,Marzo,2024-03-08,Otro,1370
2024,Marzo,2024-03-09,Hombre,29775
2024,Marzo,2024-03-09,Mujer,12699
2024,Marzo,2024-03-09,Otro,920
2024,Marzo,2024-03-10,Hombre,28504
2024,Marzo,2024-03-10,Mujer,14449
2024,Marzo,2024-03-10,Otro,943
2024,Marzo,2024-03-11,Hombre,48637
2024,Marzo,2024-03-11,Mujer,19795
2024,Marzo,2024-03-11,Otro,1337
2024,Marzo,2024-03-12,Hombre,52097
2024,Marzo,2024-03-12,Mujer,22039
2024,Marzo,2024-03-12,Otro,1484
2024,Marzo,2024-03-13,Hombre,51538
2024,Marzo,2024-03-13,Mujer,21411
2024,Marzo,2024-03-13,Otro,1490
2024,Marzo,2024-03-14,Hombre,51789
2024,Marzo,2024-03-14,Mujer,21203
2024,Marzo,2024-03-14,Otro,1399
2024,Marzo,2024-03-15,Hombre,48002
2024,Marzo,2024-03-15,Mujer,19457
2024,Marzo,2024-03-15,Otro,1449
2024,Marzo,2024-03-16,Hombre,29115
2024,Marzo,2024-03-16,Mujer,12654
2024,Marzo,2024-03-16,Otro,899
2024,Marzo,2024-03-17,Hombre,26670
2024,Marzo,2024-03-17,Mujer,13403
2024,Marzo,2024-03-17,Otro,813
2024,Marzo,2024-03-18,Hombre,25538
2024,Marzo,2024-03-18,Mujer,11290
2024,Marzo,2024-03-18,Otro,828
2024,Marzo,2024-03-19,Hombre,50236
2024,Marzo,2024-03-19,Mujer,20931
2024,Marzo,2024-03-19,Otro,1423
2024,Marzo,2024-03-20,Hombre,52460
2024,Marzo,2024-03-20,Mujer,21859
2024,Marzo,2024-03-20,Otro,1451
2024,Marzo,2024-03-21,Hombre,52929
2024,Marzo,2024-03-21,Mujer,21817
2024,Marzo,2024-03-21,Otro,1521
2024,Marzo,2024-03-22,Hombre,49313
2024,Marzo,2024-03-22,Mujer,20712
2024,Marzo,2024-03-22,Otro,1449
2024,Marzo,2024-03-23,Hombre,30429
2024,Marzo,2024-03-23,Mujer,13237
2024,Marzo,2024-03-23,Otro,935
2024,Marzo,2024-03-24,Hombre,28195
2024,Marzo,2024-03-24,Mujer,14179
2024,Marzo,2024-03-24,Otro,875
2024,Marzo,2024-03-25,Hombre,44420
2024,Marzo,2024-03-25,Mujer,17939
2024,Marzo,2024-03-25,Otro,1184
2024,Marzo,2024-03-26,Hombre,46146
2024,Marzo,2024-03-26,Mujer,19088
2024,Marzo,2024-03-26,Otro,1227
2024,Marzo,2024-03-27,Hombre,44968
2024,Marzo,2024-03-27,Mujer,18246
2024,Marzo,2024-03-27,Otro,1310
2024,Marzo,2024-03-28,Hombre,29801
2024,Marzo,2024-03-28,Mujer,12593
2024,Marzo,2024-03-28,Otro,875
2024,Marzo,2024-03-29,Hombre,25151
2024,Marzo,2024-03-29,Mujer,11056
2024,Marzo,2024-03-29,Otro,813
2024,Marzo,2024-03-30,Hombre,29044
2024,Marzo,2024-03-30,Mujer,15856
2024,Marzo,2024-03-30,Otro,945
2024,Marzo,2024-03-31,Hombre,25787
2024,Marzo,2024-03-31,Mujer,12788
2024,Marzo,2024-03-31,Otro,781
2024,Abril,2024-04-01,Hombre,45646
2024,Abril,2024-04-01,Mujer,18171
2024,Abril,2024-04-01,Otro,1227
2024,Abril,2024-04-02,Hombre,49162
2024,Abril,2024-04-02,Mujer,20003
2024,Abril,2024-04-02,Otro,1263
2024,Abril,2024-04-03,Hombre,49505
2024,Abril,2024-04-03,Mujer,19550
2024,Abril,2024-04-03,Otro,1306
2024,Abril,2024-04-04,Hombre,49357
2024,Abril,2024-04-04,Mujer,20034
2024,Abril,2024-04-04,Otro,1384
2024,Abril,2024-04-05,Hombre,47824
2024,Abril,2024-04-05,Mujer,19517
2024,Abril,2024-04-05,Otro,1336
2024,Abril,2024-04-06,Hombre,30157
2024,Abril,2024-04-06,Mujer,13070
2024,Abril,2024-04-06,Otro,929
2024,Abril,2024-04-07,Hombre,28619
